                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7772,                 2.1942,                0.94207,                 0.7555,                0.39904,                0.41478,                0.21752,                 1.7549,                 1.3158,                0.95925,             0.00033214,             0.00033214,             0.00033214
                      2,                 1.6265,                 1.1301,                0.92366,                0.81438,                0.49491,                0.51021,                0.26931,                 1.6375,                0.95324,                0.94699,             0.00063254,             0.00063254,             0.00063254
                      3,                  1.589,                0.93492,                0.91644,                0.79581,                0.43648,                0.49522,                0.27559,                  1.616,                0.96291,                0.93692,             0.00089993,             0.00089993,             0.00089993
                      4,                 1.5536,                0.85015,                0.91128,                0.83162,                0.50252,                0.53837,                0.28895,                 1.6002,                 0.8647,                0.93351,              0.0008515,              0.0008515,              0.0008515
                      5,                 1.5148,                 0.8046,                 0.9066,                0.76622,                0.48771,                0.51782,                0.29352,                 1.5749,                0.90658,                0.93954,              0.0008515,              0.0008515,              0.0008515
                      6,                 1.4824,                0.77116,                0.90187,                0.87495,                 0.5038,                0.57161,                0.31943,                 1.5506,                0.80994,                0.93495,               0.000802,               0.000802,               0.000802
                      7,                 1.4487,                0.74017,                0.89635,                0.84023,                 0.5148,                0.55451,                 0.3095,                 1.5602,                 0.8623,                0.93219,              0.0007525,              0.0007525,              0.0007525
                      8,                 1.4186,                0.72243,                 0.8902,                0.84367,                0.55563,                0.58983,                0.33497,                 1.5249,                0.80212,                0.93181,               0.000703,               0.000703,               0.000703
                      9,                 1.3901,                0.69239,                0.88606,                0.85491,                0.52843,                0.57609,                0.33379,                 1.5162,                0.77354,                0.92393,              0.0006535,              0.0006535,              0.0006535
                     10,                 1.3795,                0.68383,                0.88572,                0.84508,                0.56016,                0.59684,                0.34302,                 1.4731,                0.73781,                0.92256,               0.000604,               0.000604,               0.000604
                     11,                 1.3869,                0.69346,                0.89084,                0.84119,                0.52879,                0.57799,                0.32392,                 1.5207,                0.79832,                0.93032,              0.0005545,              0.0005545,              0.0005545
                     12,                 1.3675,                0.67538,                0.88827,                  0.854,                0.56458,                0.60224,                 0.3479,                 1.4773,                0.74637,                0.93531,               0.000505,               0.000505,               0.000505
                     13,                 1.3435,                0.65711,                 0.8811,                0.74619,                0.56438,                0.59717,                0.34503,                 1.4691,                0.73691,                0.91758,              0.0004555,              0.0004555,              0.0004555
                     14,                 1.3243,                0.64693,                0.88139,                0.77209,                0.53924,                0.58332,                0.34053,                  1.462,                0.73599,                0.92304,               0.000406,               0.000406,               0.000406
                     15,                 1.2928,                0.63093,                0.87793,                0.79583,                0.55897,                0.60459,                0.35392,                 1.4583,                0.72214,                 0.9237,              0.0003565,              0.0003565,              0.0003565
                     16,                  1.283,                0.62119,                0.87038,                0.82314,                 0.5532,                 0.6024,                0.35047,                 1.4334,                0.72624,                  0.914,               0.000307,               0.000307,               0.000307
                     17,                 1.2708,                0.60994,                0.87351,                0.73608,                0.59712,                0.61071,                0.35156,                 1.4563,                0.69494,                 0.9269,              0.0002575,              0.0002575,              0.0002575
                     18,                 1.2478,                0.59544,                0.86545,                0.72956,                0.59628,                0.61421,                0.36238,                  1.412,                0.69106,                 0.9168,               0.000208,               0.000208,               0.000208
                     19,                 1.2219,                0.58713,                 0.8648,                0.73377,                0.58462,                0.61434,                0.36151,                 1.4032,                0.70074,                 0.9162,              0.0001585,              0.0001585,              0.0001585
                     20,                 1.2078,                0.57471,                0.86563,                0.77714,                0.59688,                0.62665,                0.36516,                  1.404,                0.68718,                 0.9136,               0.000109,               0.000109,               0.000109
